08.27 14:00:55　접속  [테스트요원]  [miso8692]  [220.93.31.26]　 [1]
08.27 14:05:05　접속  [오베지아니]  [gm123]  [192.168.0.1]　 [2]
08.27 14:05:05　종료  [오베지아니]  [gm123]  [192.168.0.1]　 [1]
08.27 14:07:03　접속  [초환술스]  [gm123]  [192.168.0.1]　 [2]
08.27 14:28:22　접속  [베타테스터]  [xptmxj1]  [119.202.46.162]　 [3]
08.27 14:36:51　접속  [전사]  [sunho124]  [115.23.214.193]　 [4]
08.27 14:53:33　접속  [전투전사]  [aaa5645]  [59.16.88.49]　 [5]
08.27 15:00:02　종료  [전투전사]  [aaa5645]  [59.16.88.49]　 [4]
08.27 15:00:22　접속  [전투전사]  [aaa5645]  [59.16.88.49]　 [5]
08.27 15:16:30　접속  [용레숙]  [gm1231]  [192.168.0.1]　 [6]
08.27 15:17:49　종료  [용레숙]  [gm1231]  [192.168.0.1]　 [5]
08.27 15:18:12　접속  [용레숙]  [gm1231]  [192.168.0.1]　 [6]
08.27 15:32:03　종료  [베타테스터]  [xptmxj1]  [119.202.46.162]　 [5]
08.27 15:32:07　접속  [초보테스트]  [xptmxj1]  [119.202.46.162]　 [6]
